SRX15231083	SRR19164555	Illumina HiSeq 2500
SRX15231082	SRR19164556	Illumina HiSeq 2500
SRX15231081	SRR19164557	Illumina HiSeq 2500
SRX15231080	SRR19164558	Illumina HiSeq 2500
SRX15231079	SRR19164559	Illumina HiSeq 2500
SRX15231078	SRR19164560	Illumina HiSeq 2500
SRX15231077	SRR19164561	Illumina HiSeq 2500
SRX15231076	SRR19164562	Illumina HiSeq 2500
SRX15231075	SRR19164563	Illumina HiSeq 2500
SRX15231074	SRR19164564	Illumina HiSeq 2500
SRX15231073	SRR19164565	Illumina HiSeq 2500
SRX15231072	SRR19164566	Illumina HiSeq 2500
SRX15231071	SRR19164567	Illumina HiSeq 2500
SRX15231070	SRR19164568	Illumina HiSeq 2500
SRX15231069	SRR19164569	Illumina HiSeq 2500
SRX15231068	SRR19164570	Illumina HiSeq 2500
SRX15231067	SRR19164571	Illumina HiSeq 2500
SRX15231066	SRR19164572	Illumina HiSeq 2500
SRX15231065	SRR19164573	Illumina HiSeq 2500
SRX15231064	SRR19164574	Illumina HiSeq 2500
SRX15231063	SRR19164575	Illumina HiSeq 2500
SRX15231062	SRR19164576	Illumina HiSeq 2500
SRX15231061	SRR19164577	Illumina HiSeq 2500
SRX15231060	SRR19164578	Illumina HiSeq 2500
SRX15231059	SRR19164579	Illumina HiSeq 2500
SRX15231058	SRR19164580	Illumina HiSeq 2500
SRX15231057	SRR19164581	Illumina HiSeq 2500
SRX15231056	SRR19164582	Illumina HiSeq 2500
SRX15231055	SRR19164583	Illumina HiSeq 2500
SRX15231054	SRR19164584	Illumina HiSeq 2500
SRX15231053	SRR19164585	Illumina HiSeq 2500
SRX15231052	SRR19164586	Illumina HiSeq 2500
SRX15231051	SRR19164587	Illumina HiSeq 2500
SRX15231050	SRR19164588	Illumina HiSeq 2500
SRX15231049	SRR19164589	Illumina HiSeq 2500
SRX15231048	SRR19164590	Illumina HiSeq 2500
SRX15231047	SRR19164591	Illumina HiSeq 2500
SRX15231046	SRR19164592	Illumina HiSeq 2500
SRX15231045	SRR19164593	Illumina HiSeq 2500
SRX15231044	SRR19164594	Illumina HiSeq 2500
SRX15231043	SRR19164595	Illumina HiSeq 2500
SRX15231042	SRR19164596	Illumina HiSeq 2500
SRX15231041	SRR19164597	Illumina HiSeq 2500
SRX15231040	SRR19164598	Illumina HiSeq 2500
SRX15231039	SRR19164599	Illumina HiSeq 2500
SRX15231038	SRR19164600	Illumina HiSeq 2500
